date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:52:10	135211/135211	---M--	200	added ('OK')	application/x-javascript	etag:%22e41c961684d697f04de91a2b62b6f68a%22	https://storage.googleapis.com/s.mysch.id/themes/academy/js/plugins/plugins.js	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/themes/academy/js/plugins/plugins.js	(from http://smp274.mysch.id/)
22:52:11	3316/3316	---M--	200	added ('OK')	application/x-javascript	etag:%2208757074f8865c75f830c0dbe169af0b%22	https://storage.googleapis.com/s.mysch.id/themes/academy/js/active.js	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/themes/academy/js/active.js	(from http://smp274.mysch.id/)
22:52:15	82411/82411	---M--	200	added ('OK')	application/x-javascript	etag:%2297fd6a774fc6211e7619aca9a61ca804%22	https://storage.googleapis.com/s.mysch.id/themes/academy/default/datatables/jquery.dataTables.min.js	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/themes/academy/default/datatables/jquery.dataTables.min.js	(from http://smp274.mysch.id/)
22:52:16	2085/2085	---M--	200	added ('OK')	application/x-javascript	etag:%22b63fdeeb4941fd4cab8aac87639ac603%22	https://storage.googleapis.com/s.mysch.id/themes/academy/default/datatables/dataTables.bootstrap4.min.js	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/themes/academy/default/datatables/dataTables.bootstrap4.min.js	(from http://smp274.mysch.id/)
22:52:16	103/103	---M--	200	added ('OK')	application/x-javascript	etag:%22cf2bdea415780c215c596dfa5b85d15c%22	https://storage.googleapis.com/s.mysch.id/themes/academy/default/datatables/datatables-demo.js	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/themes/academy/default/datatables/datatables-demo.js	(from http://smp274.mysch.id/)
22:52:16	34666/34666	---M--	200	added ('OK')	application/x-javascript	etag:%22cd992c674aa6a42520e5faecd67c9b62%22	https://storage.googleapis.com/s.mysch.id/themes/academy/default/prettyphoto/jquery.prettyPhoto.js	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/themes/academy/default/prettyphoto/jquery.prettyPhoto.js	(from http://smp274.mysch.id/)
22:52:17	8023/8023	---M--	200	added ('OK')	text/css	etag:%226e5722a43663123c89ea488e1c3f9f5c%22	https://storage.googleapis.com/s.mysch.id/themes/academy/default/prettyphoto/prettyPhoto.css	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/themes/academy/default/prettyphoto/prettyPhoto.css	(from http://smp274.mysch.id/)
22:52:18	140421/140421	---M--	200	added ('OK')	text/css	etag:%2295e2d218bee5b91794b0c0934bf5ba0d%22	https://storage.googleapis.com/s.mysch.id/themes/academy/css/bootstrap.min.css	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/themes/academy/css/bootstrap.min.css	(from https://storage.googleapis.com/s.mysch.id/themes/academy/style.css)
22:52:18	2941/2941	---M--	200	added ('OK')	text/css	etag:%2211f8f55299612003d16158106d01f2f0%22	https://storage.googleapis.com/s.mysch.id/themes/academy/css/owl.carousel.min.css	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/themes/academy/css/owl.carousel.min.css	(from https://storage.googleapis.com/s.mysch.id/themes/academy/style.css)
22:52:18	57095/57095	---M--	200	added ('OK')	text/css	etag:%22cb67371414710491ee3730390d1efb33%22	https://storage.googleapis.com/s.mysch.id/themes/academy/css/animate.css	C:/Users/Relin/Downloads/Tugas%20salwa%20carelina%20maybrella-struktur%20pert5%20Pemograman%20web%201-%20201011401674/Pert%2013%20web%201/websekolah/storage.googleapis.com/s.mysch.id/themes/academy/css/animate.css	(from https://storage.googleapis.com/s.mysch.id/themes/academy/style.css)
